pid,interface,age,gender,education,country,device,stream_freq,platform,familiar,extraversion,agreeableness,conscientiousness,emot_stability,openness,rec_trust_reliance,openness_c,agreeableness_c,conscientiousness_c,emot_stability_c,extraversion_c,rec_trust_reliance_c
R_21KNAf5ZypKohKF,AppleMusic-style,22,Female,Bachelor’s degree,netherlands,Laptop or desktop computer,Several times a day,Apple Music,"No, none of them.",2.5,4.5,6.5,6,5,5.5,-0.09166666666666679,-0.11666666666666625,1.2000000000000002,1.1166666666666663,-1.5875000000000004,0.5354166666666664
R_2m7BSt56sdlCsnB,Neutral,24,Female,Secondary school / high school,France,Smartphone,Several times a day,Spotify,"No, none of them.",4.5,6,2.5,3.5,5,5,-0.09166666666666679,1.3833333333333337,-2.8,-1.3833333333333337,0.41249999999999964,0.03541666666666643
R_3MaJxQQT43UtUou,AppleMusic-style,21,Female,Bachelor’s degree,Australia,Smartphone,Several times a day,Spotify,"No, none of them.",3.5,3.5,7,6,6,4.25,0.9083333333333332,-1.1166666666666663,1.7000000000000002,1.1166666666666663,-0.5875000000000004,-0.7145833333333336
R_8zHF2bK5Ql2wFbn,Spotify-style,30,Male,Bachelor’s degree,Netherlands,Laptop or desktop computer,Several times a day,Spotify,"No, none of them.",5,4,6,5.5,1.5,4.75,-3.591666666666667,-0.6166666666666663,0.7000000000000002,0.6166666666666663,0.9124999999999996,-0.21458333333333357
R_2MMXF0PXZWSNQn6,AppleMusic-style,53,Male,Master’s degree,Belgium,Smartphone,Several times a week,Apple Music,"No, none of them.",4,4,5.5,5,4.5,4.75,-0.5916666666666668,-0.6166666666666663,0.20000000000000018,0.11666666666666625,-0.08750000000000036,-0.21458333333333357
R_8Yvz8093KSWGcV3,Spotify-style,22,Female,Master’s degree,Slovenija,Smartphone,Several times a day,Spotify,I am not sure.,3.5,4,7,4,6.5,3.75,1.4083333333333332,-0.6166666666666663,1.7000000000000002,-0.8833333333333337,-0.5875000000000004,-1.2145833333333336
R_2HwUd3veqJE8vwR,Neutral,21,Male,Secondary school / high school,Switzerland,Smartphone,Several times a day,Spotify,"No, none of them.",3,2.5,4,5.5,4.5,4.5,-0.5916666666666668,-2.1166666666666663,-1.2999999999999998,0.6166666666666663,-1.0875000000000004,-0.46458333333333357
R_8rpYJpb7VIBHtbU,Spotify-style,25,Female,Bachelor’s degree,Netherlands,Smartphone,Several times a day,Spotify,"No, none of them.",7,7,3,5.5,6,6,0.9083333333333332,2.3833333333333337,-2.3,0.6166666666666663,2.9124999999999996,1.0354166666666664
R_8kXFBTCYXougS2t,Neutral,22,Female,Bachelor’s degree,England,Smartphone,Several times a day,Spotify,"No, none of them.",5,4,6,2.5,4,5,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,-2.3833333333333337,0.9124999999999996,0.03541666666666643
R_87CpChAubnq2qnA,AppleMusic-style,56,Female,Master’s degree,Netherlands,Smartphone,Several times a week,Spotify,"No, none of them.",5.5,4.5,5,3.5,5.5,3.5,0.4083333333333332,-0.11666666666666625,-0.2999999999999998,-1.3833333333333337,1.4124999999999996,-1.4645833333333336
R_2WZnxHBrzfZPUzN,Spotify-style,22,Female,Bachelor’s degree,UK,Smartphone,Several times a day,Spotify,"No, none of them.",5,4.5,4.5,5,5.5,4.75,0.4083333333333332,-0.11666666666666625,-0.7999999999999998,0.11666666666666625,0.9124999999999996,-0.21458333333333357
R_86wgmUovCbSeZBn,Neutral,21,Female,Secondary school / high school,The Netherlands,Laptop or desktop computer,Several times a day,Spotify,"No, none of them.",6,4.5,3.5,3.5,5,5.75,-0.09166666666666679,-0.11666666666666625,-1.7999999999999998,-1.3833333333333337,1.9124999999999996,0.7854166666666664
R_2KwthiaeXJhg2on,Neutral,24,Male,Master’s degree,Holland,Smartphone,Several times a day,Spotify,"No, none of them.",3.5,4,6,5.5,4,4.25,-1.0916666666666668,-0.6166666666666663,0.7000000000000002,0.6166666666666663,-0.5875000000000004,-0.7145833333333336
R_8otp5F7ihnLbQ3f,Spotify-style,22,Male,Bachelor’s degree,Germany,Smartphone,About once a day,Spotify,"No, none of them.",5.5,4,6,6,3.5,4.75,-1.5916666666666668,-0.6166666666666663,0.7000000000000002,1.1166666666666663,1.4124999999999996,-0.21458333333333357
R_8eDx8cebtElETcA,AppleMusic-style,25,Male,Bachelor’s degree,Netherlands,Smartphone,Several times a day,Spotify,"No, none of them.",6,4,5.5,7,7,6,1.9083333333333332,-0.6166666666666663,0.20000000000000018,2.1166666666666663,1.9124999999999996,1.0354166666666664
R_2w6LjBbpkM00PCh,Spotify-style,56,Female,Master’s degree,Netherlands,Smartphone,About once a day,Spotify,"No, none of them.",4.5,7,6,7,4,3.25,-1.0916666666666668,2.3833333333333337,0.7000000000000002,2.1166666666666663,0.41249999999999964,-1.7145833333333336
R_2DTJ4aDn0eXrEPt,Neutral,60,Male,Master’s degree,Netherlands,Smartphone,About once a day,Spotify,"No, none of them.",6,4.5,4,6,3.5,4.25,-1.5916666666666668,-0.11666666666666625,-1.2999999999999998,1.1166666666666663,1.9124999999999996,-0.7145833333333336
R_5Y9CAMc6uLS3iTf,AppleMusic-style,23,Female,Bachelor’s degree,United States,Smartphone,Several times a day,Spotify,"No, none of them.",1.5,5,5,2,4.5,5,-0.5916666666666668,0.38333333333333375,-0.2999999999999998,-2.8833333333333337,-2.5875000000000004,0.03541666666666643
R_5UetAFQozjiTZo5,Spotify-style,46,Male,Bachelor’s degree,United States,Laptop or desktop computer,Several times a day,YouTube Music,"No, none of them.",1.5,4,6.5,7,4,2.25,-1.0916666666666668,-0.6166666666666663,1.2000000000000002,2.1166666666666663,-2.5875000000000004,-2.7145833333333336
R_7RPZV5loeNhIRI5,Neutral,41,Female,Other,United States,Smartphone,Several times a day,Spotify,"No, none of them.",2.5,5.5,5.5,6,6,4.25,0.9083333333333332,0.8833333333333337,0.20000000000000018,1.1166666666666663,-1.5875000000000004,-0.7145833333333336
R_5tFNjqHxUaMfsKR,AppleMusic-style,26,Male,Bachelor’s degree,United States of America,Smartphone,Several times a day,Apple Music,"No, none of them.",4.5,5,4.5,6,5,5.25,-0.09166666666666679,0.38333333333333375,-0.7999999999999998,1.1166666666666663,0.41249999999999964,0.28541666666666643
R_6rZTvwn2fA2wMbf,Neutral,26,Female,Bachelor’s degree,USA,Smartphone,Several times a day,Spotify,"Yes, one or more clips sounded familiar.",3,4,5.5,3,6.5,7,1.4083333333333332,-0.6166666666666663,0.20000000000000018,-1.8833333333333337,-1.0875000000000004,2.0354166666666664
R_51HFaFzjlBVetEJ,AppleMusic-style,23,Female,Bachelor’s degree,United States,Smartphone,Several times a day,Spotify,"No, none of them.",2,3.5,6,4.5,5.5,5,0.4083333333333332,-1.1166666666666663,0.7000000000000002,-0.38333333333333375,-2.0875000000000004,0.03541666666666643
R_8Py1FkRUTETunJf,Spotify-style,22,Female,Bachelor’s degree,UK,Smartphone,Several times a day,Spotify,"No, none of them.",5.5,5.5,6,5,5.5,5.75,0.4083333333333332,0.8833333333333337,0.7000000000000002,0.11666666666666625,1.4124999999999996,0.7854166666666664
R_2NquYu2wSRktfPr,AppleMusic-style,52,Female,Master’s degree,Belgium,Smartphone,About once a day,Apple Music,"No, none of them.",6,4.5,4,5.5,3.5,5,-1.5916666666666668,-0.11666666666666625,-1.2999999999999998,0.6166666666666663,1.9124999999999996,0.03541666666666643
R_80dkfX0Q9v4XFeO,Neutral,59,Female,Doctoral degree,Netherlands,Laptop or desktop computer,Several times a week,Spotify,"No, none of them.",6,5.5,5,5.5,6,5.5,0.9083333333333332,0.8833333333333337,-0.2999999999999998,0.6166666666666663,1.9124999999999996,0.5354166666666664
R_2B7boqaDwuvwgYp,Spotify-style,26,Male,Master’s degree,Germany,Smartphone,Several times a day,Apple Music,"No, none of them.",3,3.5,6.5,5.5,4,5.75,-1.0916666666666668,-1.1166666666666663,1.2000000000000002,0.6166666666666663,-1.0875000000000004,0.7854166666666664
R_8hjXqdtbW7DS1Ut,Spotify-style,23,Female,Bachelor’s degree,Germany,Smartphone,Several times a day,Spotify,"No, none of them.",6,5,5.5,6,5,5.25,-0.09166666666666679,0.38333333333333375,0.20000000000000018,1.1166666666666663,1.9124999999999996,0.28541666666666643
R_8ikg32xGHwENvcU,AppleMusic-style,27,Female,Master’s degree,Germany,Smartphone,Several times a day,Spotify,"No, none of them.",4.5,3,3.5,4,5.5,5.25,0.4083333333333332,-1.6166666666666663,-1.7999999999999998,-0.8833333333333337,0.41249999999999964,0.28541666666666643
R_2lpoCgLVyOu1lDP,Neutral,23,Male,Bachelor’s degree,Germany,Smartphone,Several times a day,Apple Music,"No, none of them.",6,5,4.5,6,4,4,-1.0916666666666668,0.38333333333333375,-0.7999999999999998,1.1166666666666663,1.9124999999999996,-0.9645833333333336
R_8MRuXPAO2G467bS,AppleMusic-style,26,Male,Master’s degree,Belgium,Smartphone,Several times a day,Spotify,"No, none of them.",3,2.5,4.5,5.5,4.5,2.5,-0.5916666666666668,-2.1166666666666663,-0.7999999999999998,0.6166666666666663,-1.0875000000000004,-2.4645833333333336
R_1scaI0s9ZCK2NsG,Neutral,26,Male,Bachelor’s degree,Usa,Smartphone,Several times a day,Spotify,"No, none of them.",5,4.5,5,6,5.5,2.5,0.4083333333333332,-0.11666666666666625,-0.2999999999999998,1.1166666666666663,0.9124999999999996,-2.4645833333333336
R_8zUCCakhURHatO0,Spotify-style,28,Female,Master’s degree,Germany,Smartphone,Several times a day,"Spotify,YouTube Music","No, none of them.",6,6,5.5,5,6,5.5,0.9083333333333332,1.3833333333333337,0.20000000000000018,0.11666666666666625,1.9124999999999996,0.5354166666666664
R_2y7Y2vhPSkPsOQZ,Spotify-style,27,Male,Master’s degree,Germany,Smartphone,Several times a day,Spotify,"No, none of them.",2.5,3.5,6,4,4,6,-1.0916666666666668,-1.1166666666666663,0.7000000000000002,-0.8833333333333337,-1.5875000000000004,1.0354166666666664
R_86bSiv1XRWtueVH,AppleMusic-style,21,Female,Master’s degree,UK,Smartphone,Several times a day,Spotify,"No, none of them.",6.5,3,5,5.5,6,4.75,0.9083333333333332,-1.6166666666666663,-0.2999999999999998,0.6166666666666663,2.4124999999999996,-0.21458333333333357
R_2mAYJUUfVCDwAaB,Neutral,24,Female,Master’s degree,netherlands,Smartphone,Several times a day,Spotify,"No, none of them.",6,5,7,5.5,5.5,5.75,0.4083333333333332,0.38333333333333375,1.7000000000000002,0.6166666666666663,1.9124999999999996,0.7854166666666664
R_8dFx8EQPTUVAj3P,AppleMusic-style,22,Female,Bachelor’s degree,England,Smartphone,Several times a day,Spotify,"No, none of them.",5,4.5,6.5,2.5,6,5.5,0.9083333333333332,-0.11666666666666625,1.2000000000000002,-2.3833333333333337,0.9124999999999996,0.5354166666666664
R_8qHCgYh0O1FgsDQ,Spotify-style,21,Female,Bachelor’s degree,United Kingdom,Smartphone,Several times a week,Spotify,"No, none of them.",6,4,6,5.5,4.5,5.5,-0.5916666666666668,-0.6166666666666663,0.7000000000000002,0.6166666666666663,1.9124999999999996,0.5354166666666664
R_8ooksCv74XifC4V,Spotify-style,21,Male,Bachelor’s degree,Slovenia,Smartphone,About once a day,Spotify,"No, none of them.",2,6,6,5,7,4.75,1.9083333333333332,1.3833333333333337,0.7000000000000002,0.11666666666666625,-2.0875000000000004,-0.21458333333333357
R_2dWILFxSE77IaKa,Neutral,22,Female,Bachelor’s degree,Slovenia,Smartphone,Several times a day,"Spotify,YouTube Music","No, none of them.",5,5.5,5,3.5,7,5,1.9083333333333332,0.8833333333333337,-0.2999999999999998,-1.3833333333333337,0.9124999999999996,0.03541666666666643
R_8fuH7xYfB5GIY5b,AppleMusic-style,24,Male,Master’s degree,Croatia,Smartphone,Several times a day,YouTube Music,"No, none of them.",4,4,3.5,4,4,4,-1.0916666666666668,-0.6166666666666663,-1.7999999999999998,-0.8833333333333337,-0.08750000000000036,-0.9645833333333336
R_2YleLGgwoYemBUS,Spotify-style,23,Female,Master’s degree,Netherlands,Smartphone,Several times a day,Spotify,"Yes, one or more clips sounded familiar.",5.5,5,2,4,6,5.25,0.9083333333333332,0.38333333333333375,-3.3,-0.8833333333333337,1.4124999999999996,0.28541666666666643
R_2BrxErqWirZfYlj,Neutral,22,Female,Secondary school / high school,Slovenia,Smartphone,Rarely or never,YouTube Music,"No, none of them.",1.5,6,7,6.5,5,4.5,-0.09166666666666679,1.3833333333333337,1.7000000000000002,1.6166666666666663,-2.5875000000000004,-0.46458333333333357
R_74tMiYYX9toXumQ,AppleMusic-style,23,Male,Bachelor’s degree,United States,Smartphone,Several times a day,"Apple Music,SoundCloud","No, none of them.",5,4,6,5,5,2.75,-0.09166666666666679,-0.6166666666666663,0.7000000000000002,0.11666666666666625,0.9124999999999996,-2.2145833333333336
R_844O0nLixDKwRDb,AppleMusic-style,24,Male,Master’s degree,Netherlands,Smartphone,Several times a day,Spotify,"No, none of them.",6,4,5.5,5,6,5.75,0.9083333333333332,-0.6166666666666663,0.20000000000000018,0.11666666666666625,1.9124999999999996,0.7854166666666664
R_8OIedBND5PSNTqS,Spotify-style,21,Female,Bachelor’s degree,Slovenia,Smartphone,Several times a day,"Spotify,YouTube Music","No, none of them.",3,4,6,4.5,5,4.75,-0.09166666666666679,-0.6166666666666663,0.7000000000000002,-0.38333333333333375,-1.0875000000000004,-0.21458333333333357
R_8IYNHaTq5XIxoE7,Neutral,21,Female,Secondary school / high school,Slovenia,Smartphone,Several times a day,Apple Music,"No, none of them.",3.5,6.5,6,6,4.5,4,-0.5916666666666668,1.8833333333333337,0.7000000000000002,1.1166666666666663,-0.5875000000000004,-0.9645833333333336
R_33WzGx8cjWpah3z,AppleMusic-style,18,Female,Secondary school / high school,America,Smartphone,Several times a day,Spotify,"No, none of them.",4,6,2.5,5,4.5,5.75,-0.5916666666666668,1.3833333333333337,-2.8,0.11666666666666625,-0.08750000000000036,0.7854166666666664
R_6n24a7DgM1L53w6,Spotify-style,NA,Female,Secondary school / high school,United States,Smartphone,Several times a day,Spotify,"Yes, one or more clips sounded familiar.",6.5,4,5.5,5.5,6.5,5.5,1.4083333333333332,-0.6166666666666663,0.20000000000000018,0.6166666666666663,2.4124999999999996,0.5354166666666664
R_8kCmebsF6aNeZUq,Neutral,23,Female,Bachelor’s degree,Germany,Smartphone,About once a day,Spotify,"No, none of them.",7,5.5,6.5,4,3.5,6.25,-1.5916666666666668,0.8833333333333337,1.2000000000000002,-0.8833333333333337,2.9124999999999996,1.2854166666666664
R_82gwZyqB3vdBdu6,Neutral,26,Female,Master’s degree,Belgium,Laptop or desktop computer,Several times a day,Apple Music,"No, none of them.",5.5,3.5,6.5,6,4,3.5,-1.0916666666666668,-1.1166666666666663,1.2000000000000002,1.1166666666666663,1.4124999999999996,-1.4645833333333336
R_6PRlgd9Y6NuV8nu,Spotify-style,28,Male,Master’s degree,USA,Smartphone,Several times a week,Other,I am not sure.,2,4,5.5,4,5.5,3,0.4083333333333332,-0.6166666666666663,0.20000000000000018,-0.8833333333333337,-2.0875000000000004,-1.9645833333333336
R_2r67Thyx7fKvapk,AppleMusic-style,27,Female,Master’s degree,France,Smartphone,About once a day,Spotify,"No, none of them.",2.5,5,2.5,3,5,4.25,-0.09166666666666679,0.38333333333333375,-2.8,-1.8833333333333337,-1.5875000000000004,-0.7145833333333336
R_2IE5MtxOUBLrNiY,Neutral,24,Male,Master’s degree,Netherlands,Smartphone,Several times a day,Spotify,"No, none of them.",6,3.5,4,6,4,5.25,-1.0916666666666668,-1.1166666666666663,-1.2999999999999998,1.1166666666666663,1.9124999999999996,0.28541666666666643
R_8Qbk9B74UvIDOlb,AppleMusic-style,26,Male,Master’s degree,Netherlands,Laptop or desktop computer,Several times a day,YouTube Music,"No, none of them.",2.5,4,7,5,2,4,-3.091666666666667,-0.6166666666666663,1.7000000000000002,0.11666666666666625,-1.5875000000000004,-0.9645833333333336
R_5oNigogccpspt9n,Spotify-style,23,Female,Bachelor’s degree,USA,Smartphone,Several times a day,Spotify,I am not sure.,3,2.5,5,3,5.5,5.75,0.4083333333333332,-2.1166666666666663,-0.2999999999999998,-1.8833333333333337,-1.0875000000000004,0.7854166666666664
R_2p4Rgll9vjCCHsd,Neutral,23,Female,Bachelor’s degree,Russia,Smartphone,Several times a day,Spotify,I am not sure.,5,4.5,5,4,6,4.25,0.9083333333333332,-0.11666666666666625,-0.2999999999999998,-0.8833333333333337,0.9124999999999996,-0.7145833333333336
R_8OZoO64C0VW8Fmo,Spotify-style,23,Female,Secondary school / high school,Germany,Smartphone,Several times a day,Apple Music,"No, none of them.",3,4.5,5.5,4.5,4.5,4.5,-0.5916666666666668,-0.11666666666666625,0.20000000000000018,-0.38333333333333375,-1.0875000000000004,-0.46458333333333357
R_7QKK3uXg2yFR02o,Neutral,22,Female,Bachelor’s degree,Canada,Smartphone,Several times a day,Spotify,I am not sure.,3.5,3.5,5,3,5.5,6,0.4083333333333332,-1.1166666666666663,-0.2999999999999998,-1.8833333333333337,-0.5875000000000004,1.0354166666666664
R_8BQoQ5gMrSA06ps,AppleMusic-style,23,Female,Bachelor’s degree,Netherlands,Smartphone,Several times a day,"Spotify,Apple Music","No, none of them.",6,5.5,5,3,6,5.5,0.9083333333333332,0.8833333333333337,-0.2999999999999998,-1.8833333333333337,1.9124999999999996,0.5354166666666664
